treated,nondiscrim_law_t3,therm_trans_t2,therm_obama_t1,gender_norm_moral_t1,nondiscrim_law_t0,therm_trans_t0,therm_obama_t0,gender_norm_moral_t0,ideology_t0,religious_t0,exposure_trans_t0,pid_t0,vf_democrat,vf_female,vf_hispanic,vf_black,vf_age,nondiscrim_law_diff
0,NA,NA,50,-0,3,1,50,1,0,0,0,3,0,1,1,0,26,NA
0,0.5,0,NA,NA,1,1,90,-2,0,2,0,1,1,0,0,1,20,-0.5
1,NA,NA,NA,NA,1.5,2,100,-0,1,0,1,1,1,0,0,1,33,NA
0,-1,NA,50,-0,0,1,50,-0,0,1,0,3,1,0,0,1,51,-1
0,1,1,50,-0,1.5,1,95,-0,0,3,1,3,1,1,0,1,21,-0.5
0,-0.5,NA,NA,NA,-3,0,100,-2,0,0,0,3,1,1,0,1,32,2.5
1,3,2,79,2,3,2,87,2,2,1,1,3,1,1,1,0,32,0
1,2,1,100,-0,2.5,0,100,-1,1,4,0,3,1,1,0,1,61,-0.5
0,2,1,98,-0,2,1,100,-0,-1,3,0,2,1,1,0,1,59,0
0,3,2,100,2,3,2,100,2,3,0,1,2,1,1,1,0,22,0
0,2,2,NA,NA,2.5,2,85,-0,1,1,0,1,0,0,0,1,24,-0.5
0,3,2,100,-0,2,2,100,-1,2,4,0,1,0,1,1,0,31,1
1,1.5,2,100,-2,2.5,1,100,-2,2,4,0,3,1,1,0,1,42,-1
0,3,2,50,-0,2,1,50,-0,0,2,0,3,1,0,1,0,37,1
0,0,1,40,2,-1.5,0,19,-2,0,5,1,0,0,0,1,0,67,1.5
1,1,1,84,-0,2,2,100,-0,0,2,1,1,1,0,0,1,60,-1
1,3,2,100,2,3,2,100,2,1,0,0,1,1,1,1,0,55,0
1,2.5,0,NA,NA,2.5,2,56,-1,2,5,1,-3,0,0,1,0,25,0
1,NA,NA,NA,NA,1.5,1,100,1,0,4,1,2,1,1,0,1,20,NA
0,NA,NA,50,-1,3,1,91,-0,3,5,1,0,1,1,0,1,22,NA
0,2.5,1,50,-0,2,0,100,-2,-1,4,0,3,0,0,0,1,73,0.5
0,3,1,50,-2,0,1,50,-1,-2,4,0,-3,0,0,0,0,51,3
1,0,0,76,-2,-2,0,90,-2,0,1,0,3,1,1,1,0,40,2
1,1.5,1,83,-0,0.5,1,50,-2,0,1,0,2,1,0,1,0,50,1
0,0,2,22,-0,1.5,1,28,-0,-2,4,0,-2,0,1,0,0,66,-1.5
0,0,0,7,-0,-3,0,11,-0,-2,0,0,-1,0,0,0,0,54,3
0,0.5,2,3,-0,1,1,0,1,-1,1,0,-2,0,0,0,0,68,-0.5
1,0,1,50,-0,0,1,50,-0,0,1,1,0,0,0,1,0,29,0
0,NA,NA,NA,NA,2.5,1,97,-0,1,1,0,3,1,0,0,0,21,NA
0,NA,NA,NA,NA,-1.5,1,82,1,0,3,1,2,1,1,1,0,73,NA
1,0.5,1,58,-0,2,1,60,-0,2,1,0,1,0,0,1,0,23,-1.5
1,2,2,50,1,2,1,50,-0,-1,3,1,-2,0,1,1,0,36,0
1,2,2,100,-0,2,1,100,-0,2,5,0,3,1,0,0,0,77,0
1,NA,NA,NA,NA,-1,1,8,-2,-2,5,0,-2,0,0,0,0,72,NA
1,3,2,22,2,3,2,33,-0,0,0,1,-2,0,1,1,0,49,0
1,1.5,2,94,-1,3,0,93,-1,0,4,1,2,0,1,1,0,65,-1.5
1,3,2,50,1,3,1,99,-2,3,1,0,1,0,1,0,0,75,0
0,3,2,50,2,3,2,60,1,0,0,1,-1,0,1,1,0,24,0
1,2,1,100,-0,1,1,50,-0,1,0,0,3,1,1,1,0,60,1
0,-0.5,1,50,-1,0,1,50,-1,1,1,0,2,1,0,0,0,55,-0.5
1,2.5,0,77,1,0.5,1,89,-0,0,3,0,2,0,1,1,0,44,2
1,3,1,80,1,2,1,82,-0,0,1,0,1,0,1,1,0,69,1
0,2,2,84,1,3,2,76,-2,1,1,0,1,1,1,0,0,46,-1
1,2.5,2,100,-0,3,1,100,-1,-2,2,0,1,0,1,1,0,27,-0.5
0,3,2,50,1,2,2,50,-0,0,4,0,0,0,1,1,0,34,1
1,2,2,76,1,0.5,0,72,-1,1,0,0,3,1,0,0,0,68,1.5
0,1.5,1,50,-0,3,1,81,-0,-2,2,0,-2,0,0,1,0,64,-1.5
0,-1.5,0,90,-2,-0.5,2,90,-1,-2,4,0,3,1,1,1,0,53,-1
0,0,1,50,-0,2,1,50,2,0,4,1,-3,0,0,0,0,48,-2
1,1.5,2,50,-0,2.5,1,50,1,1,1,1,0,0,0,0,0,18,-1
0,3,1,59,1,3,0,75,1,2,0,1,1,0,0,0,0,63,0
1,2.5,0,50,-1,3,2,79,-1,1,1,1,2,1,0,0,0,64,-0.5
0,3,2,80,2,3,2,80,2,1,1,1,0,0,0,1,0,23,0
0,2,2,50,1,2,2,72,1,0,0,1,1,0,0,0,0,50,0
0,2.5,2,38,-0,2.5,1,50,2,2,1,0,-3,0,1,0,0,44,0
1,NA,1,100,-2,1,0,100,-2,0,3,0,3,1,1,1,0,57,NA
1,3,2,32,2,3,2,50,-0,0,1,0,2,1,1,1,0,58,0
0,NA,NA,50,-1,1.5,2,87,-1,-2,3,0,-2,0,1,1,0,77,NA
1,-3,0,50,-2,-3,0,0,-2,-3,5,1,-1,0,0,1,0,63,0
0,1.5,1,2,-1,1,1,0,-1,-2,5,0,-2,0,1,1,0,70,0.5
1,-0.5,1,50,-0,-0.5,1,50,-1,-1,4,0,-2,1,1,0,0,90,0
1,0.5,0,53,1,3,1,50,2,0,3,0,-2,0,1,1,0,26,-2.5
0,NA,NA,NA,NA,1,1,30,-2,-2,4,0,-3,0,0,0,0,66,NA
0,1.5,0,4,-1,2,0,19,-1,-2,4,0,-3,0,1,1,0,67,-0.5
1,3,1,21,-0,2,1,0,-0,-2,1,0,-3,0,0,1,0,70,1
1,0.5,1,64,-0,0,1,50,-0,0,4,0,-1,0,1,1,0,60,0.5
1,-3,0,8,-2,-3,0,6,-2,-2,3,0,-3,0,0,1,0,63,0
0,0.5,0,90,-1,-0.5,0,91,-0,-2,4,0,-2,0,1,1,0,57,1
0,3,2,62,-0,3,2,73,1,1,1,0,0,0,0,1,0,67,0
0,1,0,17,-2,0,0,28,-1,-2,1,1,-3,0,0,0,0,52,1
0,3,2,0,2,3,2,0,2,-2,5,0,-3,0,1,1,0,20,0
0,0,2,50,2,3,2,50,2,2,1,0,0,0,1,1,0,40,-3
1,2,1,50,-0,2,1,85,-0,0,1,0,1,0,0,0,0,43,0
1,2,2,50,-0,2,1,50,-0,0,4,0,-1,0,1,1,0,40,0
1,NA,NA,100,-1,2.5,0,100,-2,0,3,0,3,1,0,1,0,60,NA
0,2,1,50,-1,1,1,50,-1,0,1,0,2,1,0,0,0,59,1
1,NA,NA,6,-0,0,1,0,-0,-2,1,0,-3,0,1,0,0,62,NA
0,2,1,100,-0,2,0,100,-0,1,1,0,3,0,1,1,0,57,0
1,3,2,64,2,3,2,50,1,0,0,0,2,0,1,1,0,41,0
0,1.5,1,85,-1,2,1,92,-1,1,5,1,-3,0,0,1,0,75,-0.5
0,NA,2,100,2,3,2,100,2,2,1,0,3,1,1,1,0,35,NA
0,1,1,50,-0,2.5,1,0,-0,2,0,0,0,0,1,1,0,51,-1.5
1,3,2,91,2,3,2,95,1,1,0,0,1,1,1,1,0,20,0
1,2,2,93,-1,3,2,86,-0,2,1,1,1,1,0,1,0,43,-1
1,NA,NA,85,1,3,2,81,1,1,1,0,2,1,0,1,0,39,NA
1,NA,2,NA,NA,3,2,5,2,1,3,1,-2,0,0,1,0,21,NA
0,3,2,68,1,3,0,71,2,2,4,1,1,0,0,1,0,22,0
1,NA,NA,50,1,1,1,0,-0,-2,3,0,-3,0,1,1,0,38,NA
1,0,0,50,-0,-2,2,52,-0,-2,4,0,-3,0,1,1,0,59,2
1,3,2,100,2,3,2,90,2,3,0,0,1,0,1,0,0,33,0
1,-3,0,33,-2,-3,0,0,-2,-2,5,0,-1,0,0,1,0,73,0
1,NA,0,0,-2,-3,0,1,-2,0,5,1,0,0,0,1,0,54,NA
1,NA,NA,NA,NA,1,1,50,-0,0,5,0,0,0,1,1,0,39,NA
0,2,2,99,1,2,1,95,1,2,3,0,0,0,0,1,0,60,0
1,2,2,1,1,1.5,2,8,1,1,0,0,-2,1,0,0,0,67,0.5
1,1.5,0,27,-1,2,0,19,-1,-3,1,0,-3,0,0,0,0,74,-0.5
1,2,1,51,-2,0,0,50,-2,2,4,0,3,1,0,1,0,50,2
1,3,2,50,-0,3,1,50,-0,3,1,1,-2,0,1,1,0,46,0
1,NA,NA,NA,NA,3,2,82,2,1,1,0,2,1,0,1,0,53,NA
1,3,1,98,1,2,1,71,-0,2,1,1,3,1,0,0,0,74,1
1,3,2,100,2,3,2,84,2,0,1,1,2,0,1,1,0,26,0
0,1.5,NA,40,-0,3,1,8,-0,-2,1,1,-2,0,1,1,0,54,-1.5
1,2,2,50,1,3,2,39,2,-1,0,0,0,0,0,0,0,44,-1
1,0.5,1,50,-0,0.5,1,50,-1,0,1,0,2,1,1,0,0,78,0
1,0.5,1,50,-0,1.5,1,50,-1,0,1,0,2,1,0,0,0,79,-1
0,0.5,1,20,-2,0,0,39,-1,-2,4,0,-2,0,1,1,0,79,0.5
1,3,2,50,-1,1,2,49,-2,-2,4,0,0,0,1,1,0,49,2
1,3,2,100,2,3,2,100,2,3,1,1,0,0,1,1,0,27,0
1,3,2,100,-0,0.5,1,100,-0,0,0,1,0,0,0,1,0,68,2.5
1,2,1,NA,NA,2,1,75,-0,0,2,0,1,1,0,1,0,43,0
0,1.5,NA,35,-0,2,1,8,-0,-2,1,1,-3,0,1,1,0,45,-0.5
0,NA,0,21,-1,-0.5,1,8,-2,-3,4,0,-3,0,1,1,0,82,NA
1,3,2,30,1,3,2,39,2,-2,0,1,-3,0,0,0,0,72,0
0,2,2,6,1,3,1,10,1,0,1,0,-2,0,1,1,0,52,-1
1,3,2,60,1,3,2,50,1,2,0,0,0,0,0,0,0,57,0
0,2,2,19,1,2,1,5,1,-1,4,1,-2,0,1,0,0,73,0
0,2,2,72,-0,3,2,93,-0,2,0,0,0,0,0,1,0,65,-1
0,3,1,50,1,3,2,60,2,1,1,1,1,0,1,0,0,30,0
1,2,2,100,2,2,2,100,1,2,0,1,3,1,0,0,0,61,0
0,3,2,77,2,3,1,70,1,0,4,0,-3,0,1,1,0,42,0
0,3,1,0,-2,2,0,0,-0,-1,0,0,-1,0,0,1,0,33,1
0,NA,NA,0,-0,1.5,1,0,1,-2,1,0,-2,0,0,1,0,51,NA
0,0,NA,97,-0,0,1,84,-0,0,0,0,2,0,0,1,0,75,0
0,-3,0,0,-1,1,0,0,-1,-2,0,0,-3,0,1,0,0,53,-4
0,-2,0,20,2,3,1,19,-0,2,0,0,-3,0,1,1,0,27,-5
0,-3,0,0,-2,-3,0,0,-2,-3,1,0,-3,0,1,1,0,77,0
0,3,2,50,-0,3,2,0,-0,0,0,0,0,0,1,1,0,29,0
1,-3,0,0,-2,-3,0,0,-2,-3,5,1,-3,0,0,1,0,33,0
0,1.5,2,50,-0,2,2,60,-0,-1,0,0,-2,0,1,0,0,61,-0.5
1,NA,NA,NA,NA,0,1,8,-0,-2,0,0,-3,0,0,0,0,49,NA
0,3,2,50,2,3,2,0,2,0,1,1,3,1,1,0,0,53,0
1,3,1,21,-1,3,0,29,-1,-1,0,0,0,0,0,0,0,64,0
1,1,1,0,-0,2,0,0,-0,-2,1,0,-1,1,0,0,0,71,-1
0,1.5,1,100,-0,2,1,100,-0,2,3,0,3,0,1,1,0,46,-0.5
0,0,0,68,-1,-0.5,0,73,-0,0,2,0,2,0,0,0,0,55,0.5
0,NA,NA,0,2,3,2,0,2,-1,2,0,-3,0,0,0,0,50,NA
0,NA,NA,50,2,3,2,0,1,-2,2,0,-3,0,0,1,0,26,NA
0,3,0,0,-2,2,1,0,-0,-2,4,1,0,0,0,1,0,46,1
0,3,NA,77,2,3,2,89,2,2,0,0,3,1,1,0,0,28,0
1,2,1,50,1,2,1,50,-0,0,1,1,2,1,1,0,0,48,0
0,3,2,100,1,3,2,100,1,3,4,0,3,1,1,1,0,59,0
1,2.5,1,50,-0,2.5,1,72,-0,0,0,1,3,0,1,0,0,62,0
0,2.5,2,50,-2,3,1,50,-0,2,1,0,-3,0,1,1,0,59,-0.5
1,NA,NA,NA,NA,0,0,28,1,0,4,0,-3,0,1,1,0,42,NA
1,3,2,67,-0,2,2,79,-0,0,4,0,1,0,1,1,0,51,1
1,-1.5,0,46,-2,-1.5,0,38,-2,0,5,0,0,0,0,1,0,19,0
1,NA,NA,NA,NA,2,0,0,-2,-1,3,1,-2,0,1,1,0,32,NA
1,NA,NA,0,-2,-2.5,0,0,-2,-3,4,0,-3,0,1,1,0,59,NA
1,NA,NA,NA,NA,2,0,8,-1,0,4,0,-3,0,0,1,0,65,NA
1,1,2,30,-0,2.5,1,3,1,-2,1,0,-3,0,0,1,0,49,-1.5
1,1,1,0,-2,2,0,0,-1,-2,1,0,-2,0,1,1,0,40,-1
1,-1,0,50,2,2,1,0,-2,0,1,0,-2,0,1,1,0,54,-3
1,0.5,2,37,-2,0,1,50,-2,-1,1,0,-2,0,0,0,0,72,0.5
1,0.5,0,17,-1,0.5,1,2,-2,0,5,0,2,1,0,0,0,80,0
0,-1,2,50,2,0,1,63,-1,-1,3,1,-3,0,1,1,0,23,-1
0,2,1,20,-1,-1,0,0,-1,-1,1,0,-2,0,1,1,0,30,3
1,-3,1,50,1,-1.5,1,10,1,-1,0,1,-1,0,0,1,0,53,-1.5
1,0.5,0,0,-0,2,0,10,1,0,0,1,-1,0,1,1,0,66,-1.5
1,2.5,1,68,-0,3,2,71,2,0,0,1,0,0,0,0,0,69,-0.5
0,-3,0,0,-2,-3,0,0,-2,0,0,0,0,0,0,1,0,70,0
0,2,1,11,1,1,1,9,-0,-1,2,0,-3,0,1,1,0,66,1
1,3,2,50,2,3,2,84,2,2,4,0,2,0,1,1,0,43,0
1,2.5,2,85,-0,1.5,0,74,-0,0,1,0,2,1,1,1,0,82,1
0,0,1,90,-0,3,1,100,-2,0,1,0,2,1,1,1,0,60,-3
0,3,NA,NA,NA,2,1,100,-0,2,0,0,2,1,0,1,0,44,1
0,1.5,1,100,-0,2,0,90,-1,1,0,0,3,1,0,1,0,59,-0.5
0,2,0,81,2,0,1,83,1,0,0,0,2,1,0,1,0,67,2
0,2,2,50,2,2,1,75,1,0,1,0,0,0,0,1,0,37,0
1,3,2,50,1,3,2,97,1,0,1,0,3,0,1,1,0,48,0
0,-1.5,0,50,-0,3,1,0,-2,0,2,1,2,0,0,0,0,24,-4.5
0,NA,NA,100,-0,2,0,98,-0,0,4,0,3,1,1,1,0,18,NA
0,-3,0,32,-0,3,1,50,-1,-2,4,0,2,1,1,1,0,46,-6
1,3,2,78,2,3,2,71,2,2,3,0,3,1,1,1,0,25,0
1,NA,NA,42,-1,1,0,40,-0,0,4,0,1,0,0,0,0,68,NA
1,3,2,82,1,3,2,93,1,1,1,0,3,1,1,0,0,56,0
0,3,2,50,2,3,1,75,2,0,0,0,2,1,1,1,0,24,0
1,2,1,50,2,3,1,100,1,2,0,0,3,1,1,1,0,78,-1
1,0,2,90,-1,2,1,80,-0,1,4,1,3,0,1,1,0,51,-2
0,-3,1,0,-2,-3,1,0,-2,-3,4,0,-2,0,0,1,0,55,0
0,2,0,25,-1,0,0,28,-1,-2,1,0,-2,0,0,0,0,69,2
0,2,0,44,-1,1,0,26,-2,-2,5,0,-1,0,1,1,0,57,1
0,1.5,2,30,-1,0,0,8,-1,0,4,0,-2,0,1,1,0,51,1.5
0,2,0,75,-0,-0.5,0,70,-0,1,0,0,1,1,0,1,0,18,2.5
1,3,1,50,2,3,1,29,2,0,0,1,-1,0,0,1,0,41,0
0,3,2,50,1,3,2,92,1,0,1,0,0,0,0,0,0,55,0
0,NA,NA,88,-0,2,2,94,-0,2,1,0,3,1,0,1,0,42,NA
0,NA,NA,NA,NA,2,1,0,-0,0,1.5992822647094727,0,0,0,0,0,0,60,NA
0,3,1,50,-0,2,1,50,-2,0,1,0,0,0,0,1,0,34,1
0,2,1,50,-0,3,1,0,-0,0,0,0,-2,1,1,1,0,37,-1
0,NA,NA,NA,NA,2,0,0,-0,-2,4,0,-3,0,0,1,0,28,NA
1,3,1,0,-0,3,1,0,-0,-2,0,0,-3,0,0,1,0,46,0
1,-0.5,1,80,-1,0,0,84,-0,1,1,0,3,1,1,0,0,58,-0.5
1,3,NA,50,2,3,2,98,2,0,1,0,2,1,1,1,0,56,0
0,1,0,0,-2,2,1,0,-2,2,1,0,-3,0,0,1,0,47,-1
0,2,1,0,-1,3,1,0,-2,-2,2,0,-3,0,1,1,0,43,-1
1,1.5,0,39,-2,1.5,0,35,-2,-1,1,0,-2,0,0,1,0,83,0
1,NA,NA,NA,NA,0.5,1,50,-0,0,5,0,0,0,1,1,0,65,NA
0,3,NA,50,-2,3,0,87,-1,3,5,0,3,0,1,1,0,47,0
0,2,2,50,1,2,1,6,-0,0,1,0,-2,0,1,0,0,36,0
1,1,NA,27,1,2,0,23,1,0,1,0,0,0,0,1,0,40,-1
1,1,1,50,-0,1.5,0,50,-1,0,1,0,1,0,1,1,0,41,-0.5
0,0.5,0,50,-0,-1,0,0,-0,-2,4,1,-1,0,0,0,0,48,1.5
0,3,2,100,-0,3,2,91,1,0,1,0,0,0,0,1,0,73,0
0,1,NA,100,-1,1,1,100,-1,0,4,0,3,1,1,0,1,62,0
1,NA,1,87,1,3,1,100,1,0,2,0,3,1,0,0,1,54,NA
1,2,2,100,-0,2,2,100,-1,-1,4,0,2,1,1,0,1,56,0
0,2,1,50,1,1.5,1,82,-0,2,2,0,3,1,0,1,0,66,0.5
0,-2.5,1,0,-2,-1,1,0,-2,-3,5,0,-3,0,0,1,0,78,-1.5
1,3,2,100,-0,2,2,100,-1,-2,2,0,3,1,0,1,0,58,1
1,NA,NA,NA,NA,0,0,0,-0,-2,0,0,-3,0,0,1,0,82,NA
0,0,0,50,-1,-2,1,0,-2,-3,4,0,-2,0,1,1,0,65,2
0,1,0,2,-2,2,1,0,-2,-2,1,0,-1,0,0,1,0,68,-1
0,3,1,71,1,3,1,71,1,0,1,0,2,0,1,1,0,60,0
0,3,2,86,2,3,2,92,2,3,1,0,3,1,1,1,0,21,0
1,0,1,20,-0,0.5,1,5,-1,-2,4,1,-2,0,0,1,0,68,-0.5
0,3,2,100,-1,2.5,2,100,-2,2,4,0,3,1,1,1,0,60,0.5
0,NA,NA,50,-1,1,0,50,-0,0,0,0,-1,0,1,1,0,45,NA
1,3,2,50,-0,2.5,1,100,-0,0,1,0,3,1,1,1,0,66,0.5
1,2,1,7,-1,-2,1,9,-2,-3,1,1,-3,0,0,1,0,64,4
1,-2.5,NA,6,2,3,2,50,2,1,1,1,2,1,0,0,0,55,-5.5
0,2,0,0,-1,2,0,0,-2,-2,1,0,-3,0,0,1,0,54,0
1,0,1,16,-0,0,0,25,-1,0,3,0,-2,0,0,1,0,54,0
0,0,2,70,-0,3,2,94,-0,3,1,0,3,0,0,1,0,21,-3
0,NA,NA,50,-1,-2.5,0,50,-1,0,1,1,-2,0,1,1,0,58,NA
1,3,2,100,1,3,2,95,-1,2,5,0,3,1,1,0,1,75,0
1,3,2,98,1,3,2,100,-1,3,1,1,3,1,0,0,0,77,0
0,2,1,82,-0,2,1,87,-1,1,0,0,1,0,0,1,0,25,0
0,NA,NA,NA,NA,1,0,80,2,-1,1,1,-2,0,0,1,0,27,NA
0,1.5,2,41,-2,1,0,40,-0,-2,1,0,-3,0,1,1,0,73,0.5
1,3,2,50,1,3,2,29,2,0,0,1,2,0,1,1,0,28,0
0,-3,1,0,-0,0,1,0,-0,-2,4,1,-2,0,1,1,0,66,-3
1,3,2,50,-2,3,1,7,-2,0,4,0,-3,0,1,1,0,61,0
1,3,2,100,2,3,2,90,2,3,0,0,-1,0,1,1,0,48,0
0,0,0,0,-0,0,1,0,-1,-2,3,0,-3,0,1,1,0,47,0
0,NA,2,90,1,3,2,90,1,2,1,0,3,0,1,1,0,52,NA
0,NA,NA,NA,NA,2,2,100,1,-1,3,1,2,1,1,1,0,82,NA
0,-2.5,0,NA,NA,-0.5,0,75,-1,1,1,1,0,0,1,1,0,52,-2
0,0,1,50,-0,0.5,1,25,-0,1,0,1,-1,0,0,0,0,25,-0.5
0,-0.5,0,50,-1,0,0,9,-2,-2,0,0,-1,0,0,0,0,59,-0.5
1,1.5,2,50,-0,2,1,50,-0,-2,1,0,-2,0,0,1,0,68,-0.5
1,3,2,81,1,3,1,85,1,0,1,0,3,1,1,1,0,34,0
1,3,2,93,2,3,2,84,2,2,0,0,2,0,1,1,0,25,0
1,NA,NA,NA,NA,2,2,81,-1,-2,4,0,-3,0,0,0,0,52,NA
1,NA,NA,NA,NA,2,2,89,-0,-3,4,0,-3,0,0,1,0,81,NA
0,3,2,94,2,3,2,90,2,2,0,1,2,0,0,0,0,70,0
1,3,2,50,2,3,2,100,2,-1,0,1,3,0,1,1,0,28,0
1,3,2,80,2,3,2,77,2,0,0,1,0,0,1,1,0,20,0
1,-1,0,29,-2,-0.5,0,30,-2,-1,4,0,-1,0,0,0,0,87,-0.5
1,-1,0,10,-2,-2,0,50,-2,-2,1,0,0,0,0,0,0,57,1
1,2,2,60,1,2,1,50,1,1,1,1,2,1,1,1,0,23,0
1,NA,NA,NA,NA,3,1,91,1,0,1,1,2,1,0,0,0,46,NA
0,-1,2,9,-2,0.5,0,9,-2,-1,5,0,-2,1,1,1,0,62,-1.5
0,2,1,50,-0,2.5,1,50,-0,0,3,0,2,1,0,0,0,54,-0.5
0,1.5,1,50,-1,2,1,50,-0,-2,3,0,-2,0,1,1,0,58,-0.5
1,3,1,81,1,3,1,85,1,1,2,0,3,1,1,1,0,53,0
1,2,2,95,-0,2,2,97,-0,0,0,0,1,1,0,1,0,57,0
